Detailed Overview of Guidelines-Informed Charting,,,,,,,,,,
Name/Title,Recognition of Client's Social Background,Recognition of Client's Cultural Background,Accessibility Options,Potential Involvement of a Therapist,International and local ethics guidelines,"Usage of evidenced, accepted therapy models",Data Safety and Security,Adaptability & Sustainability,Flexible Support,Tangible Aspects of System
DBT Travel Guide,N/A,N/A,N/A,"Yes, explicitly mentioned that the app offers a schema mode for a therapist (“For the DBT therapist, the app contains a ‘think of’ scheme, full of practical guidelines…”).",N/A,"Yes, by proxy - mindfulness and DBT are evidenced, but the app by itself has not been evaluated.",N/A,"Yes, the user is free to use the app as they see fit.",N/A,No
Quirk CBT (Cognitive Behavioral Therapy),N/A,"Yes, allows for password protection.",N/A,N/A,N/A,"Yes, by proxy - CBT is evidenced, but the app is not evaluated.",N/A,"Yes, the user is free to use the app as they see fit - also open-source project, so community could get involved.",N/A,No
Mindshine - Personal Training for the Mind,N/A,N/A,N/A,N/A,N/A,No,N/A,"Yes, the user is free to use the app as they see fit.",N/A,No
Mindworks Guided Meditation,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation is evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","Yes, with multiple points of contact offered",No
Shine - Self-Care & Meditation,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation is evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
Relaxing Sounds Spa,N/A,N/A,N/A,N/A,N/A,NA,N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
The Mindfulness App: relax calm focus and sleep,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation and mindfulness are evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
MoodSpace,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy, cbt, mcbt, mindfulness and meditation are evidenced, but the app itself has not been evaluated",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
EmoPaint – Paint your emotions!,N/A,N/A,N/A,N/A,N/A,"So-so, mindfulness is evidenced - ""emotional awareness” and “painting bodily sensations” seem more experimental - but the app itself has not been evaluated.",N/A,N/A,"No, not explicit","No – however, it deals with tangible aspects of the body."
My Affirmations - Self Motivation,N/A,N/A,N/A,N/A,N/A,"So-so, affirmations are somewhat evidenced (however, they are normally integrated in holistic therapy) - but the app itself has not been evaluated.",N/A,"Yes! Lots of settings are available, people can choose their own background images, loop the affirmations, and record their own","No, not explicit",No
eMoods Bipolar Mood Tracker,N/A,N/A,Yes.,"Yes, the description encourages the usage of the app with a practitioner.",N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.","Yes, description states everything is local on the phone only.","Yes, the user can use the app as they see fit.","No, not explicit","Yes, you can email yourself a printable pdf of your moods."
,,,“eMoods now includes a dark color theme and a colorblind-friendly color scheme”,,,,,,,
,,,,,,,,,,
I Meet Myself,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, one size fits all","No, not explicit",No
eQuoo: Emotional Fitness Game,N/A,N/A,N/A,N/A,N/A,"So-so - they say they are ""EVIDENCE-BASED"" but do not state their exact therapy paradigm / RCT is still ongoing.",N/A,N/A,"No, not explicit",No
Live Life: Guided Meditation & relaxation with CBT,N/A,N/A,N/A,N/A,N/A,"So-so - CBT is evidenced, hypnosis is pseudo-science - the app itself has not been evaluated.",N/A,"Yes, the user is free to choose meditations and audio as they see fit","No, not explicit",No
Reflectly - Journal / Diary,N/A,N/A,N/A,N/A,N/A,"Yes - all therapy paradigms have been evidenced, but the app itself has not been evaluated.",N/A,"Yes, the app “adapts” to the user.","Yes! Multiple points of contact (social media, website, and email).",No
Dbt911,N/A,N/A,"Yes, different languages are available.",N/A,N/A,"Yes, DBT and mindfulness are established.",N/A,"Yes, people are free to choose how they use each tool and when / there is space for your own skills/ideas.","Yes, also community-based translations","Yes, you can make a report out of what you input into the app."
Depression CBT Self-Help Guide,N/A,N/A,"Yes, different font sizes, background contrast are available.",N/A,N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.","Yes, there is password protection for the app","Yes, people can choose how to use the app's content by themselves, according to their own needs","No, not explicit",No
Beat Depression,N/A,N/A,N/A,N/A,N/A,"NO - does mention research and experts, but does notevidence or elaborate.",N/A,"No, one size fits all","No, not explicit",No
#SelfCare,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,"Yes! multiple points of contact (social media, website and email)",No
Anxiety Depression & Stress Relief Audio Courses,N/A,N/A,N/A,N/A,N/A,"So-so - they offer CBT-informed content, but the app itself has not been evaluated.",N/A,"Yes, the person using the app is free to go at their own page and choose what they listen to.",Yes! They offer refunds and customer support.,No
PHQ-9 Depression module,N/A,N/A,N/A,N/A,N/A,Yes! phq-9 is evidenced,N/A,"No, one size fits all.","No, not explicit",No
Cognitive Behavioral Therapy: Depression & Anxiety,N/A,N/A,N/A,N/A,N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.",N/A,"Yes, the person using the app is free to go at their own page and choose what they listen to.","No, not explicit",No
FearTools - Anxiety Aid,N/A,N/A,N/A,"Yes, mentions it and offers resources for therapists.",N/A,"So-so - the app uses the GAD and other techniques that are evidenced by proxy, but it is not explicitly listed.",N/A,"Yes, the person using the app can use it as they see fit.",Yes! The app offers a point of contact via email and invites feedback.,No
Anxiety Test,N/A,N/A,N/A,"Yes, mentions so in the description - although more as a caution to not overestimate the app.",N/A,"Yes, only showcases and uses the GAD-7.",N/A,"No, one size fits all",Yes! The app offers a point of contact via email and invites feedback.,No
MoodMission - Cope with Stress Moods & Anxiety,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy, CBT is evidenced, so is mindfulness.",N/A,"Yes, the person using the app is free to choose what “mission” they want to do.",N/A,N/A
Atmosphere: Binaural Therapy Meditation,N/A,N/A,N/A,N/A,N/A,So-so - binaural beats and their effectiveness are still being discussed.,N/A,"Yes, the person using the app can choose their own beat patterns and choose which beats to listen to.","No, not explicit",No
Social Anxiety Test,N/A,N/A,N/A,N/A,N/A,Yes - SPIN / SAD are evidenced.,N/A,"No, one size fits all","No, not explicit",No
Viridi,N/A,N/A,N/A,N/A,N/A,No,N/A,"Yes, people are free to plant and care for the succulents as they see fit.","No, not explicit",No
🎨Colorish - Free mandala coloring book for adults,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy - art therapy and mindfulness are both established practises.",N/A,"Yes, people are free to pick and choose what to colour in.","No, not explicit",No
