Detailed Overview for Aesthetics and Design Choices,,,,,,
Name/Title,Imagery,Description of Imagery,Voice,Depiction of Well-being and Wellness,Depiction of Mental Distress,Inclusivity / Diversity
Serenity: Guided Meditation & Mindfulness,"Vector icons, digital illustration","Gradients, geometric boxes, digital illustration of a bear sleeping (anthropomorphic animals?)","Expert-led, factual - advertising what the app does in detail",Being calm and rested (sleeping bear),Not depicted,N/A - everything is abstracted
Binaural Beats Therapy,"Vector icons, photos (stock?)","Icons (functionality based, illustrating the functions) - illustrations and photo mix-up (ocean with stars, galaxy, stars, abstract planets/stars-renders)","Friendly, optimistic, factual—community-based, gives lots of info about binaural beats and the app itself","Galaxy, vastness of the universe, bright stars",Not depicted,N/A - everything is abstracted
Heal And Transform Meditations,"Vector icon, photo illustration","One icon of a tree and its roots within a circle, photo of a water drop in water as background texture","Compassionate, friendly, esoteric, otherworldly",Growth in circles (tree icon),Not depicted,N/A - everything is abstracted
DBT Travel Guide,"Vector icons, digital illustration","Minimalist black/white illustrations of people / metaphor/allegory imagery (a person inside a person, walking down some stairs)","Factual, expert-led, concise and to the point",Not depicted,Not depicted,N/A - everything is abstracted
Quirk CBT (Cognitive Behavioral Therapy),"Vvector icons, digital illustration","Vector illustrations of anthropomorphized ""balls"" - lots of emojis being used in the app, anthropomorphized brain and heart","Friendly, very optimistic / motivational, compassionate - also explains where the app is coming from","Being smiley, a happy, calm blob","worried wriggly mouth, stressed ""blob""",N/A - everything is abstracted
Mindshine - Personal Training for the Mind,"Digital illustrations, vector icons","Modern, gradient-focused geometric and abstract illustrations - illustrations are based on allegories/metaphors (talking to yourself in the mirror, lifting a car) or exemplary (using a magnifier glass)","Friendly, very optimistic and motivational, compassionate - lots of referencing how ""good"" the app is","Being dry when it rains, being strong and focused",Not depicted,"Yes, multiple skin tones are being shown; faces are not too detailed - people's shapes are abstracted and “blobby”."
Mindworks Guided Meditation,"Digital illustrations, vector icons, photos","Vector illustration of a human figure meditating, photos/videos of people explaining the meditation sessions (sitting in front of a bookshelf) - icons for functionality (play etc).","Friendly, optimistic / motivational, futureproof - also explains the app's features in detail","Calm, meditating",Not depicted,"Features lots of diverse teachers, marketing materials mostly feature conventionally attractive, white people."
Shine - Self-Care & Meditation,"Digital illustrations, photos","Photo of a black woman looking up, lots of texture illustrations that look like ripped up cardboard collages (frayed edges, overlapping pieces)","Soft, friendly, very optimistic and motivational, compassionate - also explains where the app is coming from.",Not depicted,Not depicted,"Yes, diverse group of people is being shown (however, app does not feature many portrayals of people)."
Relaxing Sounds Spa,"Digital illustrations, photos, icons","Clipart-y icons - backgrounds are illustrations of candles, stones, flowers, pebbles, and nature elements / mix of rendered, fake and actual photos","Friendly and open, explains what the app does - seems to have been translated automatically","Calm, serene nature-influenced moment of stillness (candles, pebbles, flower)",Not depicted,N/A - everything is abstracted
The Mindfulness App: relax calm focus and sleep,"Digital illustration, photos","Outline of a man meditating, lots of photos of mountains, lakes and trees, a subway station entrance, women in nature with flowers","Friendly, compassionate, expert-led yet reassuring, provides overview","Nature (lake, trees, mountains), calmness, being with others in nature",Not depicted,Varied! Lots of different people represented
MoodSpace,"Digital illustrations, vector icons","Digital collage - underwater, ocean scene - nature, fantasy meadow - night scene with a moon crescent - colourful clouds in the sky - a bunny as the logo","Compassionate, friendly, kind, understanding - empathetic, but also factual in explaining the app","Nature (lake, trees, mountains), calmness, sky imagery (moon, clouds, stars)",Not depicted,N/A - everything is abstracted
EmoPaint – Paint your emotions!,"Vector icons, digital illustration","Emojis (vector icons), a bit clipart-y to indicate different moods - a human outline with texture inside (small overlaid rectangles)","Academic, expert-led, factual - explains what the app does and where it comes from",Smiling emojis,"Crying, stressed emoji faces",N/A - everything is abstracted
My Affirmations - Self Motivation,"Vector icons, digital illustration, photos","Positivity-aligned icons (hand holding a heart, mountain with a flag, thumbs up etc.) - photos as background (lake scene with mountains at night and nature imagery), foggy highway","Factual, expert-led, concise and to the point","Abstract lotus/sacred geometry logo, abstract heart-based images, succeeding physically (mountain), physically moving/travel (foggy road), calm and serene nature (lake at night)",Not depicted,N/A - everything is abstracted.
eMoods Bipolar Mood Tracker,"Geometric, abstract shapes - graphs",Only graphs and geometric shapes,"Friendly, compassionate, expert-led - detailed yet concise in what the app does - privacy-advocating",Not depicted,Not depicted,N/A - everything is abstracted
I Meet Myself,Photos,Crowd of people walking,"Friendly, kind, intriguing - empathetic towards people who might need (extra) guidance in their lives",Not depicted,Not depicted,Difficult to say from description (multiple people are depicted though)
eQuoo: Emotional Fitness Game,"Photos, digital illustrations","Flat, geometric illustrations of a doctor holding a clipboard, stick men interacting with each other, a level overview made up of a village","Expert-led, very optimistic, flashy, advertising the app - very “loud”",Not depicted,Not depicted,The main character is a woman of colour
Live Life: Guided Meditation & relaxation with CBT,"Photos, digital vector icon","Lots of photos of people in business clothes striking Confident poses, also meditating and having closed eyes sitting in nature, also stock imagery of people struggling / ""head clutching"", two heads looking into different directions with circles in between as the logo","Compassionate, kind, expert-led, very optimistic","relaxed women (sitting in yoga poses, eyes closed), being confident/business-like","head clutching, grabbing your hair etc",varied! lots of different people represented - mainly white folks in the app though
Reflectly - Journal / Diary,"Digital illustrations, photos","Photos are shown of nature scene (snowy mountains, overview of a city) - icons are used throughout the UI, especially a robotic smiley face","Gentle, compassionate, expert-led, kind",Smiling emoji,Not depicted,N/A - everything is abstracted
Dbt911,Digital illustrations,"The app's logo is 4 puzzle pieces interlocking - apart from that, there are No images in the app itself","Compassionate, kind, community-focused, cautious/realistic",Not depicted,Not depicted,N/A - everything is abstracted
Depression CBT Self-Help Guide,Digital illustrations,Vectorised butterflies and nature scenes (with flowers),"Expert-led, technical, optimistic",Not depicted,Not depicted,N/A - everything is abstracted
Beat Depression,3d renders,"Blocky, pixel-y graphics","Friendly, very optimistic, compassionate","Bright, fun objects",Colourless black and white shapes,N/A - everything is abstracted
#SelfCare,"Digital illustrations, icons","Hand drawn icons and scribbles, digital illustrations of a room with a bed, several things being strewn about, soft gradient background","Friendly, kind, collective, compassionate, understanding",Not depicted,Not depicted,N/A - everything is abstracted
Anxiety Depression & Stress Relief Audio Courses,"Digital illustrations, photos","Lots of photos and illustrations that look like stock imagery - typographic illustration with uplifting words / looking hand drawn - a woman laughing, a flamingo swim ring in water, a person hiding under pillows","Expert-led, friendly, overly optimistic",A woman in bright red lipstick smiling and laughing,A person hiding under pillows,Not a diverse group of people
PHQ-9 Depression module,None,N/A - No images,"Clinical, factual, technical, medicalised",Not depicted,Not depicted,N/A - everything is abstracted
Cognitive Behavioral Therapy: Depression & Anxiety,Digital illustrations,Watercolour strokes overlaid on lake/mountain scenes,"Friendly, expert-led, compassionate, medicalised",Not depicted,Not depicted,N/A - everything is abstracted
FearTools - Anxiety Aid,"Vector icons, stock photos","Video and guided meditation videos have standard stock thumbnails of various nature scenes etc / icons in the app are vector-based, simple outlines. one tool also uses a stick person with a “hero” cape as an icon","Friendly, expert-led, medicalised",Superman pose (icon),Not depicted,N/A - everything is abstracted
Anxiety Test,Vector icons,"Functional, minimal, to illustrate links","Friendly, expert-led, medicalised",Not depicted,Not depicted,N/A - everything is abstracted
MoodMission - Cope with Stress Moods & Anxiety,"Vector icons, photos","The app is structured around mountain / climbing / hiking imagery - people climbing mountains, walking along rocky roads, the icon is a mountain with a flag - a person reaching their arms up, a paper plane","Friendly, expert-led, compassionate, medicalised","Succeeding, reaching a goal (peak) - reaching your arms up, a paper plane",Not depicted,Not depicted
Atmosphere: Binaural Therapy Meditation,"Vector icons, stock photos","Very analogy-like photos - studying showcases a person writing, “spirit” category showcases somebody raising their arms towards the ceiling","Expert-led, to the point, very optimistic, “visionary”",Man raising his hands towards the sky,Not depicted,Not  very diverse group of people
Social Anxiety Test,Vector icon,Checklist icon vector,"Factual, expert-led, concise and to the point, medicalised",Not depicted,Not depicted,N/A - everything is abstracted
Viridi,3D render,"3D rendered plants, several pots and plants and succulents","Gentle, compassionate, playful, kind","Calm, gentle, (literally) flourishing",Not depicted,N/A - everything is abstracted
🎨Colorish - Free mandala coloring book for adults,"Vector icons, outlines","Various outlines (pop colour, flowers, plants, people) - vector icons are utility based to help the UI (paint bucket, pipette)","Friendly, kind, compassionate, playful",Not depicted,Not depicted,Varied! Lots of different people represented - some images seem culturally appropriative
