Detailed Overview for Charting General Assessments,,,,,,
Name/Title,Consultation of Additional Materials,Monetisation / Business model,Therapy Paradigm,Institution-backed?,Research-backed,Disclaimer
I Meet Myself,No,"Contains ads, there is also pro version that you can buy (£1.79)",None - people might choose to use the app to rethink their life as stated by developer (explicit),No,No,No
eQuoo: Emotional Fitness Game,"Yes, their website (https://www.equoogame.com/)",Contains ads·Offers in-app purchases,Unclear - seems like it is positive psychology informed,Yes! Mental health America and several other industry partners,"So-so. they say that the game is evidence-based in the description, but say on their website that the RCT is still being planned - contrast/tension between the two? - they say they are EVIDENCE-BASED in all caps",No
Live Life: Guided Meditation & relaxation with CBT,No,Offers in-app purchases,"CBT (explicit), hypnosis (explicit)",No,"So-so, CBT is evidenced by itself, hypnosis is pseudoscience - the app itself has not been evaluated",Yes – “Note: Hypnotherapy involves deeply relaxing the body & tapping into the subconscious mind with the power of hypnosis. Hypnotherapy has a wide variety of applications & a multitude of potential benefits. Regular hypnotherapy sessions can completely transform your life and provide the headspace that you require and a sound mental health.”
Reflectly - Journal / Diary,No,Offers in-app purchases,"positive psychology (explicit), mindfulness (explicit) and CBT (explicit)",No,"So-so - all mentioned therapy paradigms have been evidenced, but the app itself has not - also they do not explain how their algorithm works (apart from using “AI”)",No
Dbt911,No,Free,"DBT (explicit), mindfulness (explicit)",No,No,No
Depression CBT Self-Help Guide,No,Contains ads,CBT (explicit),No,No,No
Beat Depression,No,Contains ads,none,No,No,No
#SelfCare,"Yes, their website",Offers in-app purchases,none,No,No,No
Anxiety Depression & Stress Relief Audio Courses,No,Offers in-app purchases,none,No,No,/
PHQ-9 Depression module,No,Contains ads,PHQ-9 questionnaire,No,No,No
Cognitive Behavioral Therapy: Depression & Anxiety,No,Offers in-app purchases,CBT (explicit),No,No,"Yes – “The app is not designed to treat clinical levels of depression or anxiety, or other mental health disorders. Further counselling is needed as the diagnosis and treatment require a medical practitioner or a qualified mental health professional.”"
FearTools - Anxiety Aid,"Yes, their website (http://www.feartools.com/)",Free,App seems CBT inspired (not explicit),No,"So-so – “FearTools was designed in collaboration with multiple mental health professionals."" however, this claim could not be verified at first glance.","Yes – “Disclaimer: This mental health application is not intended to be a replacement for treatment nor any sort of medical intervention. Treatment is, by far, the best way to overcome anxiety disorders. Psychotherapy and medications have been shown to effectively treat anxiety. This application will only aid you on your path to recovery from anxiety. If you are not being professionally treated for anxiety, please talk to your doctor or therapist or use this app to find resources that can connect you to treatment."""
Anxiety Test,No,Free,GAD-7,No,So-so - GAD-7 is evidenced,"Yes - ""DISCLAIMER: This self-test is not meant to be a diagnosis for your anxiety. Please consult your physician if you are concerned about your symptoms. This app should not be used as a replacement for professional treatment or guidance."""
MoodMission - Cope with Stress Moods & Anxiety,No,Offers in-app purchases,"CBT-informed (explicit), mindfulness (explicit)",No,"No - CBT is evidenced, however the app has not been evaluated",Yes -
,,,,,,"“MoodMission is not a replacement for professional help. If you are experiencing anxiety, depression, or any mental health issue, talk to your GP or contact a psychologist for support.”"
Atmosphere: Binaural Therapy Meditation,No,Contains ads,Binaural sounds (explict),No,"So-so - binaural beats are still a matter of discussion, the app has not been evaluated",Yes – “IMPORTANT NOTE:
,,Offers in-app purchases,,,,Binaural Waves are just entertainment and should not replace your medicine treatments.
,,,,,,If you have any disease you should visit a doctor.”
Social Anxiety Test,No,Free,SPIN to assess SAD,No,"So-so - SPIN is evidenced, but this SCT is not",Yes – “Disclaimer: This questionnaire cannot indicate a diagnosis of social anxiety disorder. Only a qualified professional can make this diagnosis. Please consult a physician if you are concerned about social anxiety disorder.”
Viridi,No,Offers in-app purchases,none,No,No,No
🎨Colorish - Free mandala coloring book for adults,No,"Contains ads, offers in-app purchases",art therapy-inspired (explicit),No,"So-so - art therapy and colouring (as a mindful activity) are evidenced, the app in itself is not",No
